# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	sample_name	sample_uuid
C3L-01285	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01285.maf.gz	18679254	MAF	d07b68b91cbd5302a835fb9cf8d456dd	C3L-01285.WXS.N.hg38	425b6b9a-af16-45d3-995d-790e291ca478
C3L-01285	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01285.singleCaller.fixedHeader.vcf.gz	14104410	VCF	5821f9fbb39fff0c6d1546ff24441ad8	C3L-01285.WXS.N.hg38	425b6b9a-af16-45d3-995d-790e291ca478
C3L-01455	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01455.maf.gz	18409856	MAF	6e0bd5196b9f425d63136f2e8082e92a	C3L-01455.WXS.N.hg38	7c9485dc-7433-471e-8298-d48100d5c895
C3L-01455	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01455.singleCaller.fixedHeader.vcf.gz	11104938	VCF	78ad98709677609f4dc1cffbf77eb7a3	C3L-01455.WXS.N.hg38	7c9485dc-7433-471e-8298-d48100d5c895
C3L-01606	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01606.maf.gz	18343834	MAF	41c6c5d216eb2e7992af963dcea5714b	C3L-01606.WXS.N.hg38	ba67c547-f229-44c3-b97d-8a8caea30e47
C3L-01606	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01606.singleCaller.fixedHeader.vcf.gz	12789586	VCF	6086142d380dcf7db50edd2306eb07df	C3L-01606.WXS.N.hg38	ba67c547-f229-44c3-b97d-8a8caea30e47
C3L-01663	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01663.maf.gz	21954082	MAF	2b2925cb54ad6dd7421411db15570dc8	C3L-01663.WXS.N.hg38	d739bead-c5df-4370-a6c2-028cd01cca60
C3L-01663	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01663.singleCaller.fixedHeader.vcf.gz	15130662	VCF	cf4911f6b3250d08965e64528079d131	C3L-01663.WXS.N.hg38	d739bead-c5df-4370-a6c2-028cd01cca60
C3L-01838	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01838.maf.gz	20844390	MAF	5b8e6f1f683085cff113202a2bf31cf9	C3L-01838.WXS.N.hg38	a0fdf089-7e23-4c80-9512-fac6fa5d0f88
C3L-01838	LSCC	WXS_Germline	v1.1	20200425	Y3	/CPTAC3.Y3_WashU/LSCC/CPTAC3_LSCC_WXS_Germline_v1.1_LSCC.germline.GW_20200425/C3L-01838.singleCaller.fixedHeader.vcf.gz	15981086	VCF	cbacb6a764db292135f1144e0f4719c8	C3L-01838.WXS.N.hg38	a0fdf089-7e23-4c80-9512-fac6fa5d0f88
